#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Wave frame
Vortex frame
Lightweight frame","Arc Conductor
Wolfpack Rounds
The Perfect Fifth","Movement
Add clear
Damage buff",Universal,Overthrow
N/A,,Ragnhild-D,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,"Auto-Loading Holster
Ensemble",Frenzy,Double pellet,Universal,World drop
N/A,,Rake Angle,Legendary,Kinetic,,,,Lightweight Emitter,"Extended Mag
Swap Mag","Overflow
Impulse Amplifier
Lead from Gold",Chill Clip,Overload stun,Lost sectors,Nightfalls
N/A,,Red Herring,Legendary,Power,,,,Quick Launch,Impact Casing,Field Prep,Frenzy,Burst splash damage,GMs,Throne World pool
N/A,,Reed's Regret,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Triple Tap,Firing Line,Ranged sustained damage,Universal,Trials of Osiris
N/A,,Retrofuturist,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Slickdraw
Auto-Loading Holster","Frenzy
Vorpal Weapon",Double pellet,Universal,Crucible pool
N/A,,Riiswalker,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,"Quickdraw
Surplus",Vorpal Weapon,Double pellet,KF,Iron Banner legacy focusing
N/A,,Riptide,Legendary,Kinetic,,,,Arrowhead Brake,Accelerated Coils,"Auto-Loading Holster
Lead from Gold
Field Prep","Chill Clip
Vorpal Weapon
Frenzy",Chill Clip application,Universal,Crucible pool
N/A,,Scatter Signal,Legendary,Kinetic,,,,Fluted Barrel,Enhanced Battery,"Overflow
Slice",Controlled Burst,Augmenting damage,Universal,S23 pool
N/A,,Seventh Seraph CQC-12,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,Auto-Loading Holster,Vorpal Weapon,"Double pellet
Killing majors",Universal,N/A
N/A,,Sojourner's Tale,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Frenzy
Surrounded",Double slug,Universal,Dares of Eternity (rotation)
N/A,,Sovereignty,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Demolitionist
Explosive Payload",Withering Gaze,Artifact-independent weaken,Universal,S25 pool
N/A,,Starscape Null,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Rewind Rounds
Reconstruction","One-Two Punch
Trench Barrel",One-two punch,Universal,Desert Perpetual (Epic)
N/A,,Stormchaser,Legendary,Power,,,,Arrowhead Brake,"Accelerated Coils
Enhanced Battery","Auto-Loading Holster
Clown Cartridge",Firing Line,Ranged sustained damage,Universal,Duality
N/A,,Submission,Legendary,Kinetic,,,,Fluted Barrel,Flared Magwell,Perpetual Motion,"Frenzy
Demolitionist",General primary,Universal,Vow of the Disciple
N/A,,Succession,Legendary,Kinetic,,,,Fluted Barrel,"Extended Mag
Tactical Mag","Reconstruction
Demolitionist","Vorpal Weapon
Snapshot Sights
Recombination
Osmosis","Quick ranged hitscan kills
Death Throes stacking",Universal,Deep Stone Crypt
N/A,,Summum Bonum,Legendary,Power,,,,Jagged Edge,Swordmaster's Guard,"Relentless Strikes
Attrition Orbs
Deconstruct","Chaos Reshaped
Whirlwind Blade
Surrounded",Melee range boss damage,SE,Salvation's Edge
N/A,,Synanceia,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Swordmaster's Guard","Relentless Strikes
Attrition Orbs
Sharp Harvest","Eager Edge
Elemental Honing
Surrounded","Movement
Sustained sword damage",Universal,Event drop
N/A,,Taipan-4fr,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Triple Tap,Firing Line,Ranged sustained damage,Universal,"World drop
Enclave quest"
N/A,,Tarnation,Legendary,Power,,,,Volatile Launch,High-Explosive Ordnance,Field Prep,Danger Zone,Vault add clear,Last Wish,Throne World pool
N/A,,The Comedian,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Ensemble
Lead from Gold","Vorpal Weapon
Trench Barrel","Double pellet
Slow single weapon damage",Universal,Vanguard legacy focusing
N/A,,The Hothead,Legendary,Power,,,,Quick Launch,Impact Casing,"Auto-Loading Holster
Demolitionist
Field Prep","Explosive Light
Clown Cartridge
Lasting Impression",Burst splash damage,GMs,Vanguard legacy focusing
N/A,,The Lament,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Ammo efficient burst
Intrinsic Barrier","GMs, missions, Last Wish",Reforging the Past
N/A,,The Militia's Birthright,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,"Slideways
Lead from Gold","Auto-Loading Holster
Frenzy",Blinding enemies,Universal,Vanguard legacy focusing
N/A,,The Mountaintop,Legendary,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Boosting jump height,Universal,Monument to Lost Lights
N/A,,The Other Half,Legendary,Power,,,,"Enduring Blade
Jagged Edge","Heavy Guard
Swordmaster's Guard",Eager Edge,"Surrounded
Frenzy
Vorpal Weapon",Movement,Universal,Dares of Eternity
N/A,,The Supremacy,Legendary,Kinetic,,,,Fluted Barrel,"Appended Mag
Armor-Piercing Rounds","Rewind Rounds
Snapshot Sights
Lead from Gold
Discord","Kinetic Tremors
Bait and Switch
Fourth Time's the Charm","Quick ranged hitscan kills
Augmenting boss damage",Universal,Last Wish
N/A,,The When and Where,Legendary,Power,,,,Quick Launch,Impact Casing,"Clown Cartridge
Overflow
Reconstruction","Reaper's Tithe
Surrounded
Bait and Switch
Bipod",Burst boss damage,Universal,Desert Perpetual
N/A,,Thoughtless,Legendary,Kinetic,,,,Fluted Barrel,Extended Mag,Overflow,Firing Line,Augmenting damage,Universal,Vox Obscura
N/A,,Thunderlord,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Hitscan splash add clear,Universal,World drop
N/A,,Tomorrow's Answer,Legendary,Power,,,,Quick Launch,Impact Casing,Envious Arsenal,"Bait and Switch
Explosive Light",Burst splash damage,Universal,Trials of Osiris
N/A,,Truthteller,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Quickdraw","Blinding enemies
Filling ranged swap rotation",Universal,N/A
N/A,,Tusk of the Boar,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Slideways
Slice","Chain Reaction
Deconstruct",Ammo efficient add clear,Universal,Iron Banner
N/A,,Twilight Oath,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Envious Assassin,Vorpal Weapon,Augmenting damage,Universal,Dreaming City
N/A,,Until Its Return,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,"Overflow
Auto-Loading Holster","Surrounded
Cascade Point",Burst single target damage,Universal,S21 pool
N/A,,Veleda-F,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Air Trigger
Slickdraw",Withering Gaze,Artifact-independent weaken,Universal,World drop
N/A,,VS Chill Inhibitor,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Arsenal
Cascade Point","Bait and Switch
Explosive Light
Surrounded",Non-rocket burst damage,Universal,Vesper's Host
N/A,,Wastelander M5,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,Lead From Gold,"One-Two Punch
Vorpal Weapon","One-two punch
Major burst",Universal,Dares of Eternity
N/A,,Wicked Sister,Legendary,Power,,,,Quick Launch,"Spike Grenades
Mini Frags",Envious Arsenal,Bait and Switch,Non-rocket burst damage,Universal,Vanguard pool
N/A,,Wild Style,Legendary,Energy,,,,Quick Launch,Spike Grenades,Reconstruction,"Bait and Switch
Vorpal Weapon",Filling ranged swap rotation,Universal,Nightfalls
N/A,,Wilderflight,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades","Auto-Loading Holster
Demolitionist","Frenzy
Vorpal Weapon
Lead From Gold","Blinding enemies
Filling ranged swap rotation",Universal,Spire of the Watcher
N/A,,Witherhoard,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Trapping spawns,Universal,Monument to Lost Lights
N/A,,Without Remorse,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Threat Detector
Field Prep","One-Two Punch
Vorpal Weapon","One-two punch
Pellet swapping",Universal,Presage
N/A,,Xenoclast IV,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Lead From Gold
Auto-Loading Holster
Field Prep","One-Two Punch
Vorpal Weapon","One-two punch
Pellet swapping",Universal,Vanguard pool
